2019-05-26 18:16:19,441 [  13579]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index es6.exported.index will be built. 
2019-05-26 18:16:19,443 [  13581]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index es6.assignment.index will be built. 
2019-05-26 18:16:19,445 [  13583]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index ts.local.classes will be built. 
2019-05-26 18:16:19,446 [  13584]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index ts.embedded.content.index will be built. 
2019-05-26 18:16:19,447 [  13585]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.nonglobal.symbol.index will be built. 
2019-05-26 18:16:19,449 [  13587]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.gcl.modules will be built. 
2019-05-26 18:16:19,450 [  13588]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.doc.modules will be built. 
2019-05-26 18:16:19,452 [  13590]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.amd.modules will be built. 
2019-05-26 18:16:19,453 [  13591]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.directives.index will be built. 
2019-05-26 18:16:19,454 [  13592]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.directives.doc.index will be built. 
2019-05-26 18:16:19,456 [  13594]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.controller.index will be built. 
2019-05-26 18:16:19,457 [  13595]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.module.index will be built. 
2019-05-26 18:16:19,458 [  13596]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.filter.index will be built. 
2019-05-26 18:16:19,460 [  13598]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.symbol.index will be built. 
2019-05-26 18:16:19,462 [  13600]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.ui.router.states.index will be built. 
2019-05-26 18:16:19,463 [  13601]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.ui.router.generic.states.index will be built. 
2019-05-26 18:16:19,464 [  13602]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.templateUrl.index will be built. 
2019-05-26 18:16:19,465 [  13603]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.generic.modules.index will be built. 
2019-05-26 18:16:19,466 [  13604]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angularjs.delimiter.index will be built. 
2019-05-26 18:16:19,468 [  13606]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.templateUrl.index will be built. 
2019-05-26 18:16:19,469 [  13607]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.source.pipe.index will be built. 
2019-05-26 18:16:19,471 [  13609]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.source.directive.index will be built. 
2019-05-26 18:16:19,472 [  13610]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.source.module.index will be built. 
2019-05-26 18:16:19,474 [  13612]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.metadata.pipe.index will be built. 
2019-05-26 18:16:19,475 [  13613]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.metadata.entityClassName.index will be built. 
2019-05-26 18:16:19,477 [  13615]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.metadata.directive.index will be built. 
2019-05-26 18:16:19,478 [  13616]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.metadata.node.index will be built. 
2019-05-26 18:16:19,479 [  13617]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.metadata.function.index will be built. 
2019-05-26 18:16:19,481 [  13619]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index angular2.metadata.module.index will be built. 
2019-05-26 18:16:19,482 [  13620]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index jade.mixin will be built. 
2019-05-26 18:16:19,483 [  13621]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vue.components.index will be built. 
2019-05-26 18:16:19,485 [  13623]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vue.options.index will be built. 
2019-05-26 18:16:19,503 [  13641]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vue.mixin.binding.index will be built. 
2019-05-26 18:16:19,504 [  13642]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vue.extends.binding.index will be built. 
2019-05-26 18:16:19,505 [  13643]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vue.global.directives.index will be built. 
2019-05-26 18:16:19,507 [  13645]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vue.local.directives.index will be built. 
2019-05-26 18:16:19,508 [  13646]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index vuex.store.index will be built. 
2019-05-26 18:16:19,514 [  13652]   INFO - exImpl$StubIndexInitialization - Initialization done:121 
2019-05-26 18:16:19,626 [  13764]   INFO - m.intellij.ui.mac.touchbar.NST - OS doesn't support touchbar, skip nst loading 
2019-05-26 18:16:19,836 [  13974]   INFO - penapi.wm.impl.GlobalMenuLinux - created instance of GlobalMenuLinux for xid=0x2a0003b 
2019-05-26 18:16:19,845 [  13983]   INFO - penapi.wm.impl.GlobalMenuLinux - Closed dbus-service 'com.canonical.AppMenu.Registrar' 
2019-05-26 18:16:20,624 [  14762]   INFO - pl.projectlevelman.NewMappings - VCS Root: [] - [<Project>] 
2019-05-26 18:16:20,625 [  14763]   INFO - pl.projectlevelman.NewMappings - VCS Root: [Git] - [/home/sarthak/Programming/gmail-automater/api] 
2019-05-26 18:16:20,625 [  14763]   INFO - pl.projectlevelman.NewMappings - VCS Root: [Git] - [/home/sarthak/Programming/gmail-automater/extension] 
2019-05-26 18:16:20,625 [  14763]   INFO - pl.projectlevelman.NewMappings - VCS Root: [Git] - [/home/sarthak/Programming/gmail-automater/nlp-engine] 
2019-05-26 18:16:21,004 [  15142]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2019-05-26 18:16:21,386 [  15524]   INFO - ellij.project.impl.ProjectImpl - 102 project components initialized in 1341 ms 
